ARTICLE_CODE,ARTICLE_DEMAND,FLOOR_ASSIGNED_DEMAND,LOCATION_ID,THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AVAILABLE_STOCK,NODE_ID,NODE_VISITED,THM_OPENED,IS_SELECTED,PICKED_AMOUNT,PICK_ORDER
258,1,1,j02766,167070507,MZN1,14,11,1,R,8,n00009,1,1,1,1,5
258,1,1,j02782,167070515,MZN1,12,13,1,L,1,n00007,0,0,0,0,
376,1,1,j00222,167045198,MZN1,5,2,1,L,1,n00003,1,1,1,1,2
376,1,1,j02838,167070525,MZN1,11,11,2,R,2,n00006,0,0,0,0,
546,1,1,j00244,167045201,MZN1,6,8,1,R,1,n00005,1,1,1,1,4
546,1,1,j02804,167070517,MZN1,12,13,1,R,3,n00007,0,0,0,0,
554,1,1,j01581,167059611,MZN1,1,5,1,R,1,n00001,1,1,1,1,1
554,1,1,j25339,567932057,MZN1,13,12,2,R,1,n00008,0,0,0,0,
557,1,1,j02123,167066232,MZN1,6,2,1,R,1,n00004,1,1,1,1,3
557,1,1,j02382,167067698,MZN1,2,4,1,L,1,n00002,0,0,0,0,
