NODE_ID,FLOOR,AISLE,COLUMN,__DEPOT__,n00001,n00002,n00003,n00004,n00005,n00006,n00007,n00008,n00009
__DEPOT__,,,,0,53.41,46.83,29.99,26.31,43.71,58.79,68.27,69.05,62.47
n00001,MZN1,1,5,53.41,0,29.58,34.82,38.5,44.3,56.9,66.38,67.16,67.94
n00002,MZN1,2,4,46.83,29.58,0,28.24,31.92,43.52,56.12,65.6,66.38,67.16
n00003,MZN1,5,2,29.99,34.82,28.24,0,15.08,32.48,50.88,60.36,61.14,61.92
n00004,MZN1,6,2,26.31,38.5,31.92,15.08,0,17.4,47.2,56.68,57.46,58.24
n00005,MZN1,6,8,43.71,44.3,43.52,32.48,17.4,0,29.8,39.28,40.06,40.84
n00006,MZN1,11,11,58.79,56.9,56.12,50.88,47.2,29.8,0,15.08,15.86,16.64
n00007,MZN1,12,13,68.27,66.38,65.6,60.36,56.68,39.28,15.08,0,17.98,18.76
n00008,MZN1,13,12,69.05,67.16,66.38,61.14,57.46,40.06,15.86,17.98,0,12.18
n00009,MZN1,14,11,62.47,67.94,67.16,61.92,58.24,40.84,16.64,18.76,12.18,0
