THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,ARTICLE_CODE,STOCK_AMOUNT
167046755,MZN2,3,7,1,R,46,7
167046755,MZN2,3,7,1,R,42,287
167046755,MZN2,3,7,1,R,45,21
167046755,MZN2,3,7,1,R,47,7
167075241,MZN2,19,16,2,L,37,77
167075241,MZN2,19,16,2,L,38,98
167075241,MZN2,19,16,2,L,41,49
167075241,MZN2,19,16,2,L,87,21
167075241,MZN2,19,16,2,L,40,77
167075241,MZN2,19,16,2,L,86,14
167075241,MZN2,19,16,2,L,39,119
167075242,MZN2,19,16,2,R,37,112
167075242,MZN2,19,16,2,R,86,63
167075243,MZN2,19,17,2,L,87,231
167075243,MZN2,19,17,2,L,37,42
167075244,MZN2,19,17,2,R,37,168
167075244,MZN2,19,17,2,R,40,217
167075244,MZN2,19,17,2,R,38,77
167075245,MZN2,18,10,2,L,39,154
167075245,MZN2,18,10,2,L,37,168
167075245,MZN2,18,10,2,L,38,28
167075246,MZN2,18,11,2,L,39,154
167075246,MZN2,18,11,2,L,38,308
167075246,MZN2,18,11,2,L,40,7
167075247,MZN2,18,11,2,L,86,63
167075247,MZN2,18,11,2,L,87,63
167075248,MZN2,18,12,2,R,87,14
167075248,MZN2,18,12,2,R,86,140
167075249,MZN2,18,12,2,L,37,84
167075249,MZN2,18,12,2,L,38,91
167075249,MZN2,18,12,2,L,39,112
167075249,MZN2,18,12,2,L,40,28
167075249,MZN2,18,12,2,L,41,21
167075250,MZN2,18,13,2,R,39,91
167075250,MZN2,18,13,2,R,37,70
167075250,MZN2,18,13,2,R,40,63
167075251,MZN2,18,13,2,L,39,49
167075251,MZN2,18,13,2,L,37,126
167075251,MZN2,18,13,2,L,38,126
167075252,MZN2,18,13,2,L,38,84
167075252,MZN2,18,13,2,L,40,154
167075252,MZN2,18,13,2,L,39,77
167075253,MZN2,18,14,2,R,41,119
167075253,MZN2,18,14,2,R,39,84
167075253,MZN2,18,14,2,R,40,35
167075254,MZN2,18,14,2,R,39,14
167075254,MZN2,18,14,2,R,37,7
167075254,MZN2,18,14,2,R,41,98
167075255,MZN2,18,15,2,L,41,126
167075325,MZN2,2,3,1,R,46,301
167075325,MZN2,2,3,1,R,44,7
167075325,MZN2,2,3,1,R,45,42
167075326,MZN2,2,3,1,R,53,378
167075328,MZN2,2,4,1,R,52,189
167075329,MZN2,2,4,2,L,52,448
167075329,MZN2,2,4,2,L,51,252
167075330,MZN2,2,5,1,L,51,329
167075331,MZN2,2,5,1,R,45,441
167075331,MZN2,2,5,1,R,44,28
167075332,MZN2,2,5,1,L,51,287
167075333,MZN2,2,5,2,R,51,168
167075334,MZN2,2,4,1,L,51,203
167075335,MZN2,2,7,2,L,48,399
167075336,MZN2,2,8,2,R,48,189
167075337,MZN2,2,7,2,R,48,693
167075338,MZN2,2,8,1,R,49,406
167075339,MZN2,2,8,1,R,49,469
167075340,MZN2,2,9,2,R,49,126
167075341,MZN2,2,8,1,L,49,385
167075342,MZN2,3,3,2,L,43,112
167075342,MZN2,3,3,2,L,44,483
167075343,MZN2,3,3,2,L,43,315
167075343,MZN2,3,3,2,L,44,91
167075344,MZN2,3,2,2,R,44,357
167075345,MZN2,3,4,1,R,42,126
167075345,MZN2,3,4,1,R,43,525
167075345,MZN2,3,4,1,R,44,7
167075346,MZN2,3,5,1,R,50,336
167075347,MZN2,3,7,2,L,50,700
167075349,MZN2,3,9,1,R,42,112
167075349,MZN2,3,9,1,R,44,161
167075349,MZN2,3,9,1,R,45,105
167075349,MZN2,3,9,1,R,47,56
167075349,MZN2,3,9,1,R,46,70
167075349,MZN2,3,9,1,R,43,161
167075350,MZN2,3,8,2,R,50,273
167075351,MZN2,4,3,2,R,50,616
167075351,MZN2,4,3,2,R,49,7
167075352,MZN2,4,5,2,R,49,350
167075353,MZN2,4,3,2,L,49,343
167075391,MZN2,2,2,1,R,46,84
167075391,MZN2,2,2,1,R,45,7
167075391,MZN2,2,2,1,R,47,273
567225324,MZN6,2,13,4,L,6,20
567426429,MZN6,2,13,1,R,6,20
567428980,MZN6,23,12,3,R,4,20
567445885,MZN6,3,15,4,L,6,19
567516200,MZN6,2,10,3,L,6,20
567617708,MZN6,2,12,2,L,6,8
567619261,MZN5,6,9,3,R,30,315
567625055,MZN6,2,11,3,R,19,16
567645418,MZN5,6,12,4,L,32,245
567651737,MZN6,22,8,4,R,4,20
567652971,MZN5,6,9,3,R,29,245
567655942,MZN6,3,11,3,L,4,20
567658756,MZN6,19,4,2,L,10,2
567701338,MZN6,22,14,3,L,4,20
567704601,MZN5,6,9,3,R,30,315
567729211,MZN6,3,14,3,L,4,20
567731239,MZN6,3,14,3,L,4,18
567732667,MZN6,22,17,1,L,4,20
567740658,MZN5,26,6,7,R,2,20
567743764,MZN5,6,11,4,L,33,168
567746298,MZN6,22,16,1,R,5,20
567749707,MZN5,6,14,4,R,31,224
567753154,MZN6,14,2,1,R,2,9
567753164,MZN6,14,2,4,L,2,1
567754686,MZN5,6,9,4,L,31,280
567754702,MZN5,6,11,3,L,30,315
567754709,MZN5,6,11,2,L,30,315
567754812,MZN5,6,12,3,L,29,315
567755619,MZN5,6,9,4,R,30,315
567762195,MZN5,4,7,4,L,3,11
567762465,MZN5,6,9,3,R,31,280
567763432,MZN5,26,7,2,R,2,16
567763469,MZN5,26,6,2,R,1,16
567763470,MZN5,26,6,7,R,1,16
567763471,MZN5,26,6,7,R,1,16
567763638,MZN5,21,4,1,L,2,10
567763643,MZN5,20,4,5,L,1,13
567763644,MZN5,20,4,5,L,1,16
567763645,MZN5,20,4,5,L,1,4
567763655,MZN5,20,4,4,L,1,15
567763672,MZN5,12,4,2,R,2,15
567763673,MZN5,12,1,3,R,2,18
567763679,MZN5,12,3,2,L,2,15
567763681,MZN5,12,5,5,R,2,20
567763810,MZN5,26,7,6,R,1,16
567763812,MZN5,26,7,6,R,1,16
567763855,MZN5,10,5,1,L,2,16
567763857,MZN5,10,5,3,L,2,16
567763886,MZN5,20,4,5,L,1,16
