PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID,PICK_ORDER
PICKER_MZN1,167045198,466,MZN1,5,2,1,L,2,PICKCAR_MZN1,1
PICKER_MZN1,167045198,503,MZN1,5,2,1,L,1,PICKCAR_MZN1,1
PICKER_MZN1,167045198,376,MZN1,5,2,1,L,1,PICKCAR_MZN1,1
PICKER_MZN1,167045198,467,MZN1,5,2,1,L,1,PICKCAR_MZN1,1
PICKER_MZN1,167045198,471,MZN1,5,2,1,L,2,PICKCAR_MZN1,1
PICKER_MZN1,167045198,571,MZN1,5,2,1,L,1,PICKCAR_MZN1,1
PICKER_MZN1,167045202,574,MZN1,6,7,1,R,1,PICKCAR_MZN1,2
PICKER_MZN1,167045201,546,MZN1,6,8,1,R,1,PICKCAR_MZN1,3
PICKER_MZN1,167045201,575,MZN1,6,8,1,R,1,PICKCAR_MZN1,3
PICKER_MZN1,167045201,595,MZN1,6,8,1,R,1,PICKCAR_MZN1,3
PICKER_MZN1,167045204,481,MZN1,6,8,2,L,1,PICKCAR_MZN1,3
PICKER_MZN1,167045204,483,MZN1,6,8,2,L,1,PICKCAR_MZN1,3
PICKER_MZN1,167045199,467,MZN1,6,10,2,L,2,PICKCAR_MZN1,4
PICKER_MZN1,167045168,580,MZN1,7,9,1,L,1,PICKCAR_MZN1,5
PICKER_MZN1,167045168,581,MZN1,7,9,1,L,2,PICKCAR_MZN1,5
PICKER_MZN1,167045167,582,MZN1,7,9,2,L,1,PICKCAR_MZN1,5
PICKER_MZN1,167066570,584,MZN1,7,17,1,L,1,PICKCAR_MZN1,6
PICKER_MZN1,167054596,588,MZN1,8,16,1,R,3,PICKCAR_MZN1,7
PICKER_MZN1,167045172,591,MZN1,11,9,1,L,1,PICKCAR_MZN1,8
PICKER_MZN1,167045172,592,MZN1,11,9,1,L,1,PICKCAR_MZN1,8
PICKER_MZN1,167055792,610,MZN1,18,11,2,R,2,PICKCAR_MZN1,9
PICKER_MZN1,567285402,603,MZN1,17,5,1,R,2,PICKCAR_MZN1,10
PICKER_MZN1,567131706,607,MZN1,17,3,2,L,1,PICKCAR_MZN1,11
PICKER_MZN1,567363268,605,MZN1,17,1,1,L,1,PICKCAR_MZN1,12
PICKER_MZN1,567326929,583,MZN1,17,1,2,R,1,PICKCAR_MZN1,12
PICKER_MZN1,167069700,600,MZN1,15,8,2,R,1,PICKCAR_MZN1,13
PICKER_MZN1,567214036,593,MZN1,15,9,1,L,1,PICKCAR_MZN1,14
PICKER_MZN1,167045146,576,MZN1,14,8,2,R,1,PICKCAR_MZN1,15
PICKER_MZN1,167045144,505,MZN1,14,9,2,R,1,PICKCAR_MZN1,16
PICKER_MZN1,167070507,258,MZN1,14,11,1,R,1,PICKCAR_MZN1,17
PICKER_MZN1,567825773,598,MZN1,14,19,1,R,2,PICKCAR_MZN1,18
PICKER_MZN1,167066280,587,MZN1,5,17,1,L,1,PICKCAR_MZN1,19
PICKER_MZN2,167045279,1055,MZN2,2,2,2,R,1,PICKCAR_MZN2,1
PICKER_MZN2,167038881,616,MZN2,2,2,2,L,2,PICKCAR_MZN2,1
PICKER_MZN2,167053759,624,MZN2,2,6,2,L,7,PICKCAR_MZN2,2
PICKER_MZN2,167056060,619,MZN2,2,7,1,R,7,PICKCAR_MZN2,3
PICKER_MZN2,167056060,961,MZN2,2,7,1,R,1,PICKCAR_MZN2,3
PICKER_MZN2,167067903,626,MZN2,2,8,1,L,6,PICKCAR_MZN2,4
PICKER_MZN2,167067903,620,MZN2,2,8,1,L,8,PICKCAR_MZN2,4
PICKER_MZN2,167054671,1293,MZN2,2,10,2,R,1,PICKCAR_MZN2,5
PICKER_MZN2,167054671,1218,MZN2,2,10,2,R,1,PICKCAR_MZN2,5
PICKER_MZN2,167054671,1379,MZN2,2,10,2,R,1,PICKCAR_MZN2,5
PICKER_MZN2,167066603,628,MZN2,2,12,2,L,2,PICKCAR_MZN2,6
PICKER_MZN2,167066558,630,MZN2,2,15,1,L,1,PICKCAR_MZN2,7
PICKER_MZN2,167066556,725,MZN2,2,16,1,L,1,PICKCAR_MZN2,8
PICKER_MZN2,167066602,631,MZN2,2,18,2,R,1,PICKCAR_MZN2,9
PICKER_MZN2,167066602,627,MZN2,2,18,2,R,1,PICKCAR_MZN2,9
PICKER_MZN2,167066602,632,MZN2,2,18,2,R,3,PICKCAR_MZN2,9
PICKER_MZN2,167067667,1190,MZN2,4,18,2,L,7,PICKCAR_MZN2,10
PICKER_MZN2,167067672,1191,MZN2,4,17,1,L,2,PICKCAR_MZN2,11
PICKER_MZN2,567279523,666,MZN2,4,15,2,L,2,PICKCAR_MZN2,12
PICKER_MZN2,167052693,664,MZN2,4,14,2,L,1,PICKCAR_MZN2,13
PICKER_MZN2,167052693,679,MZN2,4,14,2,L,2,PICKCAR_MZN2,13
PICKER_MZN2,167063641,662,MZN2,4,12,1,L,4,PICKCAR_MZN2,14
PICKER_MZN2,167063641,994,MZN2,4,12,1,L,1,PICKCAR_MZN2,14
PICKER_MZN2,167070282,663,MZN2,4,12,2,L,2,PICKCAR_MZN2,14
PICKER_MZN2,167046734,660,MZN2,4,9,1,R,3,PICKCAR_MZN2,15
PICKER_MZN2,167046734,916,MZN2,4,9,1,R,2,PICKCAR_MZN2,15
PICKER_MZN2,167066694,1232,MZN2,4,8,2,L,1,PICKCAR_MZN2,16
PICKER_MZN2,167066694,1233,MZN2,4,8,2,L,2,PICKCAR_MZN2,16
PICKER_MZN2,167058185,659,MZN2,4,7,1,L,4,PICKCAR_MZN2,17
PICKER_MZN2,167068008,657,MZN2,4,6,1,R,2,PICKCAR_MZN2,18
PICKER_MZN2,167068008,658,MZN2,4,6,1,R,1,PICKCAR_MZN2,18
PICKER_MZN2,167061915,655,MZN2,4,5,1,L,1,PICKCAR_MZN2,19
PICKER_MZN2,167046725,654,MZN2,4,4,1,R,2,PICKCAR_MZN2,20
