ARTICLE_CODE,ARTICLE_DEMAND,LOCATION_ID,THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AVAILABLE_STOCK,NODE_ID,NODE_VISITED,THM_OPENED,IS_SELECTED,PICKED_AMOUNT,PICK_ORDER
561,1,j02377,167066934,MZN2,24,12,1,R,1,n00089,1,1,1,1,5
561,1,j02375,567409836,MZN2,24,12,2,L,1,n00089,1,0,0,0,5
561,1,j00095,167069726,MZN1,2,6,1,R,1,n00002,0,0,0,0,
561,1,j00111,167070247,MZN1,2,10,1,R,1,n00004,0,0,0,0,
561,1,j00121,167067310,MZN1,3,5,1,L,1,n00005,0,0,0,0,
561,1,j00136,567504723,MZN1,3,19,2,R,2,n00007,0,0,0,0,
561,1,j00139,567500747,MZN1,4,3,1,L,1,n00008,0,0,0,0,
561,1,j00147,567500735,MZN1,4,5,1,L,1,n00009,0,0,0,0,
561,1,j00156,167066226,MZN1,4,6,1,R,3,n00010,0,0,0,0,
561,1,j00157,567176598,MZN1,4,7,1,R,1,n00011,0,0,0,0,
561,1,j00163,167066264,MZN1,4,10,1,L,1,n00012,0,0,0,0,
561,1,j00164,167069869,MZN1,4,10,2,R,1,n00012,0,0,0,0,
561,1,j00176,167066024,MZN1,4,15,2,L,1,n00013,0,0,0,0,
561,1,j00189,567488464,MZN1,5,9,2,R,1,n00014,0,0,0,0,
561,1,j00210,567362791,MZN1,6,5,1,R,1,n00015,0,0,0,0,
561,1,j00212,567547405,MZN1,6,6,1,L,1,n00016,0,0,0,0,
561,1,j00233,567520625,MZN1,6,7,2,R,2,n00017,0,0,0,0,
561,1,j00234,167039179,MZN1,6,8,1,L,1,n00018,0,0,0,0,
561,1,j00254,567176539,MZN1,6,9,1,L,1,n00019,0,0,0,0,
561,1,j00258,167067353,MZN1,6,9,2,R,1,n00019,0,0,0,0,
561,1,j00277,567319467,MZN1,6,12,1,R,1,n00021,0,0,0,0,
561,1,j00328,167054114,MZN1,7,15,1,R,1,n00024,0,0,0,0,
561,1,j00353,167062850,MZN1,8,13,2,R,2,n00025,0,0,0,0,
561,1,j00355,167066586,MZN1,8,14,2,L,1,n00026,0,0,0,0,
561,1,j00363,167066587,MZN1,8,17,2,L,1,n00028,0,0,0,0,
561,1,j00542,167061785,MZN1,12,18,2,L,2,n00032,0,0,0,0,
561,1,j00545,167070265,MZN1,13,1,2,L,1,n00033,0,0,0,0,
561,1,j00548,167070320,MZN1,13,3,1,L,1,n00035,0,0,0,0,
561,1,j00560,167038944,MZN1,13,7,2,R,1,n00037,0,0,0,0,
561,1,j00569,567319508,MZN1,13,13,2,R,1,n00039,0,0,0,0,
561,1,j00571,567504571,MZN1,13,16,2,L,1,n00040,0,0,0,0,
561,1,j00576,567364123,MZN1,13,18,1,L,1,n00042,0,0,0,0,
561,1,j00608,567213884,MZN1,14,12,1,R,1,n00045,0,0,0,0,
561,1,j00680,167067962,MZN1,16,7,1,L,1,n00049,0,0,0,0,
561,1,j00720,167044835,MZN1,17,14,2,L,1,n00052,0,0,0,0,
561,1,j00724,4197205454,MZN1,17,16,2,R,1,n00053,0,0,0,0,
561,1,j00755,167067939,MZN1,18,16,1,R,1,n00056,0,0,0,0,
561,1,j03018,167066308,MZN3,11,3,2,R,1,n00105,0,0,0,0,
561,1,j03183,167066891,MZN3,13,5,1,R,1,n00117,0,0,0,0,
561,1,j03424,167066350,MZN3,17,6,2,R,1,n00134,0,0,0,0,
567,1,j01905,567425506,MZN2,17,10,2,L,1,n00077,1,1,1,1,8
567,1,j00134,167067664,MZN1,3,17,2,L,1,n00006,0,0,0,0,
567,1,j00360,167070189,MZN1,8,16,2,L,1,n00027,0,0,0,0,
567,1,j00601,167045144,MZN1,14,9,2,R,1,n00044,0,0,0,0,
567,1,j01761,567131863,MZN2,16,4,1,L,3,n00071,0,0,0,0,
567,1,j02735,567474885,MZN3,5,4,1,L,3,n00095,0,0,0,0,
567,1,j02764,567409361,MZN3,6,7,1,L,3,n00096,0,0,0,0,
567,1,j03530,567424847,MZN3,20,7,1,R,1,n00141,0,0,0,0,
577,1,j01912,567457737,MZN2,17,12,2,R,2,n00078,1,1,1,1,7
577,1,j00257,167067354,MZN1,6,9,1,R,1,n00019,0,0,0,0,
577,1,j00451,167061428,MZN1,12,6,1,L,1,n00031,0,0,0,0,
577,1,j00546,567212453,MZN1,13,1,2,L,1,n00033,0,0,0,0,
577,1,j00565,567204223,MZN1,13,8,1,R,2,n00038,0,0,0,0,
577,1,j00570,167044780,MZN1,13,16,1,L,1,n00040,0,0,0,0,
577,1,j00573,167047298,MZN1,13,17,2,L,1,n00041,0,0,0,0,
