PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID,PICK_ORDER
PICKER_MZN1,567519890,1242,MZN1,18,4,2,L,1,PICKCAR_MZN1,1
PICKER_MZN2,567131863,567,MZN2,16,4,1,L,1,PICKCAR_MZN2,1
PICKER_MZN2,167055906,1275,MZN2,16,9,2,R,1,PICKCAR_MZN2,2
PICKER_MZN2,167054096,1248,MZN2,17,10,1,L,1,PICKCAR_MZN2,3
PICKER_MZN2,567457737,577,MZN2,17,12,2,R,1,PICKCAR_MZN2,4
PICKER_MZN2,167067916,977,MZN2,21,11,1,R,1,PICKCAR_MZN2,5
PICKER_MZN2,567405658,1195,MZN2,22,9,2,L,1,PICKCAR_MZN2,6
PICKER_MZN2,567409836,561,MZN2,24,12,2,L,1,PICKCAR_MZN2,7
PICKER_MZN2,567409836,1087,MZN2,24,12,2,L,1,PICKCAR_MZN2,7
PICKER_MZN2,167050616,1263,MZN2,20,5,2,R,1,PICKCAR_MZN2,8
PICKER_MZN2,167045388,1093,MZN2,18,2,2,L,1,PICKCAR_MZN2,9
PICKER_MZN2,167045388,1223,MZN2,18,2,2,L,1,PICKCAR_MZN2,9
