ARTICLE_CODE,ARTICLE_DEMAND,LOCATION_ID,THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AVAILABLE_STOCK,NODE_ID,NODE_VISITED,THM_OPENED,IS_SELECTED,PICKED_AMOUNT,PICK_ORDER
567,1,j01905,567425506,MZN2,17,10,2,L,1,n00034,1,1,1,1,5
567,1,j00134,167067664,MZN1,3,17,2,L,1,n00003,0,0,0,0,
567,1,j00360,167070189,MZN1,8,16,2,L,1,n00009,0,0,0,0,
567,1,j00601,167045144,MZN1,14,9,2,R,1,n00017,0,0,0,0,
567,1,j01761,567131863,MZN2,16,4,1,L,3,n00030,0,0,0,0,
567,1,j02735,567474885,MZN3,5,4,1,L,3,n00049,0,0,0,0,
567,1,j02764,567409361,MZN3,6,7,1,L,3,n00050,0,0,0,0,
567,1,j03530,567424847,MZN3,20,7,1,R,1,n00068,0,0,0,0,
577,1,j01912,567457737,MZN2,17,12,2,R,2,n00035,1,1,1,1,4
577,1,j00257,167067354,MZN1,6,9,1,R,1,n00005,0,0,0,0,
577,1,j00451,167061428,MZN1,12,6,1,L,1,n00010,0,0,0,0,
577,1,j00546,567212453,MZN1,13,1,2,L,1,n00012,0,0,0,0,
577,1,j00565,567204223,MZN1,13,8,1,R,2,n00014,0,0,0,0,
577,1,j00570,167044780,MZN1,13,16,1,L,1,n00015,0,0,0,0,
577,1,j00573,167047298,MZN1,13,17,2,L,1,n00016,0,0,0,0,
577,1,j03319,567436783,MZN3,15,13,2,L,4,n00064,0,0,0,0,
977,1,j02205,167067916,MZN2,21,11,1,R,1,n00038,1,1,1,1,3
977,1,j00108,167070248,MZN1,2,9,2,R,1,n00002,0,0,0,0,
977,1,j00138,567504723,MZN1,3,19,2,R,2,n00004,0,0,0,0,
977,1,j00856,167052563,MZN2,2,13,1,L,29,n00020,0,0,0,0,
977,1,j00858,567279681,MZN2,2,14,1,L,6,n00021,0,0,0,0,
977,1,j01189,167061949,MZN2,7,4,2,R,3,n00023,0,0,0,0,
977,1,j01196,167061300,MZN2,7,8,2,L,11,n00024,0,0,0,0,
977,1,j02208,167067914,MZN2,21,13,1,L,7,n00039,0,0,0,0,
977,1,j02589,167061924,MZN3,1,12,2,R,30,n00047,0,0,0,0,
977,1,j02697,167059618,MZN3,4,5,1,R,39,n00048,0,0,0,0,
1087,1,j02371,167052276,MZN2,24,11,2,R,65,n00042,1,1,1,1,2
1087,1,j00016,8517163487,MZN1,1,5,2,L,1,n00001,0,0,0,0,
1087,1,j00813,567279569,MZN2,2,3,1,L,72,n00018,0,0,0,0,
1087,1,j00827,567194455,MZN2,2,5,2,L,80,n00019,0,0,0,0,
1087,1,j01004,167057938,MZN2,4,13,2,R,17,n00022,0,0,0,0,
1087,1,j02380,167066934,MZN2,24,12,1,R,54,n00043,0,0,0,0,
1087,1,j02376,567409836,MZN2,24,12,2,L,59,n00043,0,0,0,0,
1087,1,j02444,567409837,MZN2,25,13,1,R,75,n00044,0,0,0,0,
1087,1,j02461,567508612,MZN2,25,18,1,R,70,n00045,0,0,0,0,
1087,1,j02484,167067713,MZN2,26,8,2,L,38,n00046,0,0,0,0,
1087,1,j02863,567419054,MZN3,8,7,1,R,43,n00052,0,0,0,0,
1093,1,j01954,167045388,MZN2,18,2,2,L,4,n00036,1,1,1,1,6
1093,1,j00544,567475716,MZN1,12,18,2,R,1,n00011,0,0,0,0,
1093,1,j01221,167055189,MZN2,7,13,1,R,15,n00025,0,0,0,0,
1093,1,j01219,167047331,MZN2,7,13,2,L,35,n00025,0,0,0,0,
1093,1,j01445,167054730,MZN2,10,17,2,R,9,n00029,0,0,0,0,
1093,1,j01839,167056806,MZN2,17,1,2,R,1,n00033,0,0,0,0,
1093,1,j02004,167055255,MZN2,18,14,2,R,1,n00037,0,0,0,0,
1093,1,j02874,167052206,MZN3,8,11,1,L,30,n00053,0,0,0,0,
1093,1,j02881,167057022,MZN3,8,12,1,R,24,n00054,0,0,0,0,
1093,1,j03147,167052248,MZN3,12,15,2,L,34,n00058,0,0,0,0,
1195,1,j02266,567405658,MZN2,22,9,2,L,51,n00041,1,1,1,1,1
1195,1,j00296,567501176,MZN1,6,17,1,L,1,n00007,0,0,0,0,
1195,1,j02262,567405654,MZN2,22,8,2,R,16,n00040,0,0,0,0,
1195,1,j02817,167046674,MZN3,7,11,2,L,41,n00051,0,0,0,0,
1195,1,j03123,567192611,MZN3,12,9,2,L,69,n00057,0,0,0,0,
1195,1,j03197,567175991,MZN3,13,9,2,L,50,n00060,0,0,0,0,
1195,1,j03203,567176022,MZN3,13,9,2,R,14,n00060,0,0,0,0,
1195,1,j03350,167055250,MZN3,16,7,1,L,1,n00066,0,0,0,0,
1223,1,j01955,167045388,MZN2,18,2,2,L,3,n00036,1,1,1,1,6
1223,1,j00312,167056124,MZN1,7,7,2,L,2,n00008,0,0,0,0,
1223,1,j00563,167070354,MZN1,13,7,2,R,1,n00013,0,0,0,0,
1223,1,j01220,167047331,MZN2,7,13,2,L,15,n00025,0,0,0,0,
1223,1,j01231,4197196470,MZN2,7,15,2,R,30,n00026,0,0,0,0,
1223,1,j01234,167055187,MZN2,7,16,2,L,30,n00027,0,0,0,0,
1223,1,j02005,167055255,MZN2,18,14,2,R,10,n00037,0,0,0,0,
1223,1,j02882,167057022,MZN3,8,12,1,R,31,n00054,0,0,0,0,
1223,1,j03040,167070375,MZN3,11,11,1,L,30,n00055,0,0,0,0,
1223,1,j03067,567520632,MZN3,11,15,1,R,5,n00056,0,0,0,0,
1223,1,j03159,567236211,MZN3,12,17,1,L,31,n00059,0,0,0,0,
1223,1,j03290,567177268,MZN3,15,5,1,R,2,n00061,0,0,0,0,
1223,1,j03303,567285106,MZN3,15,8,1,R,22,n00062,0,0,0,0,
1248,1,j01904,167054096,MZN2,17,10,1,L,3,n00034,1,1,1,1,5
1248,1,j00272,167045199,MZN1,6,10,2,L,1,n00006,0,0,0,0,
1248,1,j01286,167055924,MZN2,8,13,1,R,1,n00028,0,0,0,0,
1248,1,j01290,167055936,MZN2,8,13,1,R,7,n00028,0,0,0,0,
1248,1,j01811,567377724,MZN2,16,13,2,L,4,n00031,0,0,0,0,
1248,1,j01819,167054093,MZN2,16,14,1,R,4,n00032,0,0,0,0,
1248,1,j03314,167048452,MZN3,15,12,1,L,20,n00063,0,0,0,0,
1248,1,j03327,167048453,MZN3,15,14,1,R,3,n00065,0,0,0,0,
1248,1,j03406,567303869,MZN3,16,17,1,R,2,n00067,0,0,0,0,
