ARTICLE_CODE,ARTICLE_DEMAND,LOCATION_ID,THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AVAILABLE_STOCK,NODE_ID,NODE_VISITED,THM_OPENED,IS_SELECTED,PICKED_AMOUNT,PICK_ORDER
567,1,j01905,567425506,MZN2,17,10,2,L,1,n00075,1,1,1,1,7
567,1,j00134,167067664,MZN1,3,17,2,L,1,n00005,0,0,0,0,
567,1,j00360,167070189,MZN1,8,16,2,L,1,n00018,0,0,0,0,
567,1,j00601,167045144,MZN1,14,9,2,R,1,n00027,0,0,0,0,
567,1,j01761,567131863,MZN2,16,4,1,L,3,n00070,0,0,0,0,
567,1,j02735,567474885,MZN3,5,4,1,L,3,n00118,0,0,0,0,
567,1,j02764,567409361,MZN3,6,7,1,L,3,n00119,0,0,0,0,
567,1,j03530,567424847,MZN3,20,7,1,R,1,n00148,0,0,0,0,
577,1,j01912,567457737,MZN2,17,12,2,R,2,n00076,1,1,1,1,8
577,1,j00257,167067354,MZN1,6,9,1,R,1,n00010,0,0,0,0,
577,1,j00451,167061428,MZN1,12,6,1,L,1,n00020,0,0,0,0,
577,1,j00546,567212453,MZN1,13,1,2,L,1,n00023,0,0,0,0,
577,1,j00565,567204223,MZN1,13,8,1,R,2,n00024,0,0,0,0,
577,1,j00570,167044780,MZN1,13,16,1,L,1,n00025,0,0,0,0,
577,1,j00573,167047298,MZN1,13,17,2,L,1,n00026,0,0,0,0,
577,1,j03319,567436783,MZN3,15,13,2,L,4,n00140,0,0,0,0,
606,1,j02468,167045408,MZN2,26,1,2,R,1,n00105,1,1,1,1,19
606,1,j02463,167045407,MZN2,26,1,2,L,1,n00105,1,0,0,0,19
606,1,j00700,567547360,MZN1,16,18,2,L,1,n00032,0,0,0,0,
606,1,j01526,167045384,MZN2,12,3,1,L,1,n00062,0,0,0,0,
606,1,j02469,167045405,MZN2,26,2,2,L,1,n00106,0,0,0,0,
606,1,j03771,567436752,MZN3,23,15,2,L,14,n00155,0,0,0,0,
609,1,j01857,167047355,MZN2,17,4,2,L,2,n00074,1,1,1,1,24
609,1,j00725,567218992,MZN1,17,18,2,R,1,n00033,0,0,0,0,
609,1,j00747,167039236,MZN1,18,12,2,R,1,n00034,0,0,0,0,
609,1,j01454,167047527,MZN2,11,4,2,R,1,n00061,0,0,0,0,
609,1,j03325,567436782,MZN3,15,14,2,L,72,n00141,0,0,0,0,
609,1,j03624,567436907,MZN3,22,2,1,L,3,n00151,0,0,0,0,
699,2,j02226,167062851,MZN2,22,3,1,L,32,n00092,1,1,1,2,20
699,2,j00021,8517169178,MZN1,1,5,2,L,2,n00001,0,0,0,0,
699,2,j01137,167066698,MZN2,6,7,1,R,228,n00051,0,0,0,0,
699,2,j01140,167055817,MZN2,6,8,1,L,26,n00052,0,0,0,0,
699,2,j02214,567363534,MZN2,21,15,1,L,216,n00091,0,0,0,0,
699,2,j03491,567701111,MZN3,18,11,1,L,2,n00145,0,0,0,0,
788,20,j02421,167070336,MZN2,25,8,1,L,2171,n00101,1,1,1,20,17
788,20,j00282,567176130,MZN1,6,14,1,L,14,n00012,0,0,0,0,
788,20,j01618,567183394,MZN2,13,9,1,R,605,n00065,0,0,0,0,
788,20,j02433,167041725,MZN2,25,9,1,R,1,n00102,0,0,0,0,
788,20,j03240,567219189,MZN3,14,9,1,L,14,n00138,0,0,0,0,
788,20,j03498,567468555,MZN3,18,12,1,L,1,n00146,0,0,0,0,
791,4,j01628,167044705,MZN2,13,12,2,L,157,n00066,1,1,1,4,5
791,4,j00051,8517168606,MZN1,1,19,1,L,4,n00002,0,0,0,0,
791,4,j01728,167046919,MZN2,15,6,2,L,1,n00067,0,0,0,0,
791,4,j01768,567327365,MZN2,16,4,2,R,172,n00070,0,0,0,0,
791,4,j01769,567732925,MZN2,16,5,2,L,200,n00071,0,0,0,0,
791,4,j02824,167044975,MZN3,7,13,2,R,2,n00128,0,0,0,0,
866,3,j02001,167050918,MZN2,18,13,2,R,54,n00083,1,1,1,3,12
866,3,j00017,8517163497,MZN1,1,5,2,L,3,n00001,0,0,0,0,
