PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID,PICK_ORDER
PICKER_MZN2,567212772,1122,MZN2,5,4,2,R,1,PICKCAR_MZN2,1
PICKER_MZN2,167045279,1055,MZN2,2,2,2,R,1,PICKCAR_MZN2,2
PICKER_MZN2,167066957,1051,MZN2,4,3,2,R,5,PICKCAR_MZN2,3
PICKER_MZN2,167055916,1118,MZN2,4,9,1,L,4,PICKCAR_MZN2,4
PICKER_MZN2,167044705,791,MZN2,13,12,2,L,4,PICKCAR_MZN2,5
PICKER_MZN2,567194460,999,MZN2,15,14,2,L,2,PICKCAR_MZN2,6
PICKER_MZN2,567425506,567,MZN2,17,10,2,L,1,PICKCAR_MZN2,7
PICKER_MZN2,567457737,577,MZN2,17,12,2,R,1,PICKCAR_MZN2,8
PICKER_MZN2,167041722,1019,MZN2,18,9,1,R,5,PICKCAR_MZN2,9
PICKER_MZN2,167054619,1088,MZN2,18,8,2,R,2,PICKCAR_MZN2,10
PICKER_MZN2,567379232,1061,MZN2,18,7,2,R,3,PICKCAR_MZN2,11
PICKER_MZN2,167050918,866,MZN2,18,13,2,R,3,PICKCAR_MZN2,12
PICKER_MZN2,167067916,977,MZN2,21,11,1,R,1,PICKCAR_MZN2,13
PICKER_MZN2,167047321,1066,MZN2,23,8,1,L,1,PICKCAR_MZN2,14
PICKER_MZN2,167047324,1068,MZN2,23,7,1,L,4,PICKCAR_MZN2,15
PICKER_MZN2,167052276,1087,MZN2,24,11,2,R,1,PICKCAR_MZN2,16
PICKER_MZN2,167070336,788,MZN2,25,8,1,L,20,PICKCAR_MZN2,17
PICKER_MZN2,167047149,993,MZN2,25,6,2,L,1,PICKCAR_MZN2,18
PICKER_MZN2,167047149,1020,MZN2,25,6,2,L,1,PICKCAR_MZN2,18
PICKER_MZN2,167045408,606,MZN2,26,1,2,R,1,PICKCAR_MZN2,19
PICKER_MZN2,167062851,699,MZN2,22,3,1,L,2,PICKCAR_MZN2,20
PICKER_MZN2,567405652,997,MZN2,22,4,2,R,2,PICKCAR_MZN2,21
PICKER_MZN2,567363560,1030,MZN2,21,3,1,R,3,PICKCAR_MZN2,22
PICKER_MZN2,167056806,1093,MZN2,17,1,2,R,1,PICKCAR_MZN2,23
PICKER_MZN2,167047355,609,MZN2,17,4,2,L,1,PICKCAR_MZN2,24
