ARTICLE_CODE,AMOUNT
88,5
150,1
152,8
198,3
262,1
307,1
332,1
336,1
337,2
376,1
381,2
409,1
417,1
465,2
466,1
467,3
471,2
481,1
483,1
505,1
521,1
556,3
557,1
558,1
559,1
563,2
564,1
565,1
569,1
572,1
573,1
574,1
577,1
578,1
579,1
580,1
583,1
584,5
585,1
587,1
588,2
592,1
593,1
594,1
596,1
600,1
601,1
603,1
606,1
611,1
613,3
616,1
617,1
618,3
619,1
620,4
621,1
622,3
624,5
625,1
626,4
628,1
630,1
634,1
635,2
637,1
638,1
640,1
641,1
642,1
643,1
644,1
646,1
647,1
649,3
653,2
654,1
656,1
657,1
658,1
659,2
661,1
662,1
663,2
664,1
665,9
666,6
668,4
670,1
671,1
672,1
674,1
675,2
677,1
678,1
679,2
680,1
682,1
683,1
685,5
686,1
687,2
688,2
689,2
690,1
691,1
692,2
693,1
694,1
695,3
696,1
697,1
698,3
702,1
704,1
705,1
707,1
708,2
709,1
710,7
711,2
712,1
713,1
715,1
716,1
717,2
718,2
719,2
720,1
722,1
723,1
726,1
727,1
731,1
733,1
734,1
737,1
738,5
740,1
741,1
742,1
744,2
745,2
746,2
747,1
749,1
751,1
754,1
755,5
757,2
758,1
759,1
761,1
762,2
764,1
765,1
766,4
767,1
768,1
770,3
771,1
772,1
773,3
774,2
775,1
776,2
777,3
778,1
779,1
781,2
783,2
784,1
785,3
788,13
789,1
790,1
791,4
794,2
795,4
796,3
797,5
798,4
799,1
800,1
801,1
802,1
804,1
805,1
807,1
808,2
810,1
811,1
812,1
814,1
816,2
818,1
819,1
820,1
821,1
822,1
823,1
824,1
826,2
827,1
828,1
829,2
830,1
831,1
832,2
833,2
834,1
835,1
836,6
837,2
838,4
840,2
841,3
842,1
843,1
844,1
848,1
850,1
851,3
852,1
854,1
855,4
856,2
858,1
860,1
862,2
863,2
864,1
866,2
867,1
868,1
869,1
870,2
871,5
872,1
873,1
874,1
875,1
877,1
878,1
879,5
880,8
881,7
882,3
883,2
884,2
885,1
886,1
887,2
889,2
891,1
893,1
895,1
897,1
899,1
900,1
905,1
907,2
908,1
909,1
910,2
911,2
912,1
915,2
916,2
917,2
918,1
919,3
921,4
922,2
926,1
927,1
928,2
933,1
936,6
937,3
938,1
939,1
940,3
941,1
942,2
943,1
944,1
945,1
946,2
947,1
948,2
950,1
951,1
952,1
955,2
956,1
957,2
958,1
960,5
963,1
966,7
968,3
969,1
971,2
972,1
973,1
974,2
975,2
976,1
978,7
980,1
981,1
982,2
983,4
984,1
986,1
987,3
988,1
989,2
991,1
992,2
994,1
995,8
997,2
998,1
999,2
1000,1
1001,7
1002,1
1006,3
1007,1
1008,3
1009,1
1010,1
1011,2
1014,2
1015,1
1018,1
1019,4
1020,1
1021,3
1022,1
1023,1
1024,1
1025,1
1029,2
1031,2
1032,1
1034,2
1035,3
1036,3
1037,1
1038,2
1041,2
1042,2
1043,1
1044,1
1047,1
1048,1
1049,1
1050,1
1051,3
1052,3
1053,2
1054,1
1056,1
1057,1
1058,3
1059,1
1060,12
1061,1
1062,1
1063,1
1064,1
1065,1
1067,4
1068,1
1069,5
1071,8
1073,1
1074,2
1075,1
1076,3
1077,1
1078,6
1079,2
1080,1
1081,1
1082,6
1083,1
1084,6
1086,2
1089,5
1090,4
1092,2
1093,1
1096,1
1098,1
1099,1
1100,1
1101,4
1102,3
1103,2
1104,2
1105,1
1106,4
1107,2
1109,1
1110,1
1111,1
1114,1
1116,1
1118,3
1119,1
1120,1
1121,1
1122,1
1123,3
1124,1
1125,5
1126,1
1127,5
1128,4
1130,1
1131,1
1132,1
1133,1
1134,2
1135,1
1136,1
1137,1
1138,2
1140,2
1141,9
1142,1
1143,2
1144,1
1147,1
1148,2
1149,1
1150,2
1151,3
1152,1
1153,1
1154,2
1155,1
1156,3
1157,3
1158,1
1159,1
1160,7
1161,4
1162,1
1164,1
1165,1
1166,1
1167,2
1169,2
1174,2
1176,1
1177,1
1179,1
1181,1
1182,3
1183,1
1185,5
1186,3
1187,3
1188,1
1189,1
1190,3
1194,1
1195,1
1196,5
1197,3
1198,1
1199,2
1200,1
1201,1
1205,1
1206,1
1207,2
1208,3
1211,1
1213,2
1215,1
1216,1
1217,5
1220,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,4
1229,1
1230,1
1231,3
1233,2
1236,1
1237,4
1238,1
1240,1
1241,5
1243,4
1244,2
1245,2
1246,1
1247,2
1249,2
1250,1
1251,2
1252,2
1253,2
1254,2
1256,2
1257,2
1258,3
1259,1
1260,1
1261,2
1264,1
1265,2
1266,2
1267,1
1268,1
1269,2
1270,3
1271,1
1272,4
1274,1
1276,1
1277,1
1279,5
1280,1
1281,1
1282,1
1283,2
1284,1
1285,1
1286,3
1289,2
1291,2
1292,1
1293,1
1294,1
1295,1
1296,1
1299,1
1300,1
1301,1
1302,2
1303,3
1305,10
1306,1
1307,2
1308,11
1312,1
1313,1
1314,3
1315,1
1316,3
1317,1
1318,2
1319,1
