ARTICLE_CODE,AMOUNT
32,1
88,8
150,3
152,10
153,1
198,4
227,1
258,1
262,2
307,1
332,2
336,1
337,3
376,1
381,2
409,2
417,1
465,5
466,2
467,3
471,2
481,1
483,1
503,1
505,1
521,1
546,1
554,1
555,1
556,3
557,1
558,1
559,1
560,1
561,1
562,1
563,3
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,2
582,1
583,1
584,7
585,1
586,1
587,1
588,3
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,2
599,1
600,1
601,1
602,2
603,2
604,1
605,1
606,1
607,1
608,1
609,1
610,2
611,2
612,1
613,3
614,1
615,1
616,2
617,3
618,5
619,7
620,8
621,1
622,4
623,1
624,7
625,1
626,6
627,1
628,2
629,2
630,1
631,1
632,3
633,1
634,1
635,5
636,2
637,1
638,2
639,1
640,2
641,2
642,2
643,1
644,1
645,1
646,1
647,1
648,2
649,5
650,1
651,1
652,1
653,2
654,2
655,1
656,2
657,2
658,1
659,4
660,3
661,2
662,4
663,2
664,1
665,16
666,10
667,1
668,6
669,1
670,1
671,1
672,3
673,1
674,2
675,2
676,1
677,3
678,1
679,2
680,1
681,1
682,1
683,1
684,2
685,6
686,1
687,2
688,2
689,2
690,1
691,1
692,4
693,2
694,3
695,4
696,2
697,2
698,4
699,2
700,1
701,1
702,1
703,1
704,3
705,1
706,1
707,1
708,2
709,1
710,7
711,2
712,1
713,2
714,1
715,1
716,2
717,3
718,2
719,2
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,2
731,1
732,1
733,1
734,1
735,1
736,2
737,1
738,5
739,1
740,2
741,1
742,1
743,1
744,2
745,3
746,3
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,5
756,1
757,2
758,3
759,1
760,1
761,1
762,3
763,1
764,1
765,3
766,5
767,3
768,2
769,1
770,6
771,1
772,1
773,3
774,2
775,1
776,3
777,3
778,1
779,1
780,1
781,2
782,2
783,3
784,1
785,5
786,1
787,1
788,20
789,1
790,2
791,4
792,1
793,1
794,3
795,8
796,4
797,7
798,6
799,1
800,2
801,2
802,4
803,1
804,1
805,1
806,1
807,1
808,3
809,1
810,1
811,2
812,1
813,1
814,3
815,1
816,4
817,1
818,1
819,1
820,1
821,1
822,1
823,2
824,1
825,1
826,2
827,1
828,1
829,2
830,1
831,1
832,3
833,2
834,1
835,1
836,7
837,2
838,4
839,3
840,3
841,3
842,1
843,4
844,1
845,1
846,1
847,1
848,2
849,1
850,1
851,3
852,2
853,1
854,2
855,4
856,2
857,1
858,2
859,1
860,1
861,1
862,2
863,3
864,2
865,2
866,3
867,3
868,2
869,1
870,3
871,10
872,2
873,1
874,1
875,1
