ARTICLE_CODE,ARTICLE_DEMAND,LOCATION_ID,THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AVAILABLE_STOCK,NODE_ID,NODE_VISITED,THM_OPENED,IS_SELECTED,PICKED_AMOUNT,PICK_ORDER
258,1,j00604,167070507,MZN1,14,11,1,R,8,n00009,1,1,1,1,1
258,1,j00477,167070515,MZN1,12,13,1,L,1,n00007,0,0,0,0,
376,1,j00401,167070525,MZN1,11,11,2,R,2,n00006,1,1,1,1,3
376,1,j00179,167045198,MZN1,5,2,1,L,1,n00003,0,0,0,0,
546,1,j00245,167045201,MZN1,6,8,1,R,1,n00005,1,1,1,1,4
546,1,j00498,167070517,MZN1,12,13,1,R,3,n00007,0,0,0,0,
554,1,j00568,567932057,MZN1,13,12,2,R,1,n00008,1,1,1,1,2
554,1,j00035,167059611,MZN1,1,5,1,R,1,n00001,0,0,0,0,
557,1,j00200,167066232,MZN1,6,2,1,R,1,n00004,1,1,1,1,5
557,1,j00092,167067698,MZN1,2,4,1,L,1,n00002,0,0,0,0,
