THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT
167046755,45,MZN2,3,7,1,R,3
167046755,46,MZN2,3,7,1,R,1
167046755,47,MZN2,3,7,1,R,1
167075241,87,MZN2,19,16,2,L,3
167075241,86,MZN2,19,16,2,L,2
167075241,41,MZN2,19,16,2,L,4
167075243,37,MZN2,19,17,2,L,6
167075244,38,MZN2,19,17,2,R,9
167075245,38,MZN2,18,10,2,L,4
167075246,40,MZN2,18,11,2,L,1
167075247,86,MZN2,18,11,2,L,5
167075247,87,MZN2,18,11,2,L,1
167075248,87,MZN2,18,12,2,R,2
167075249,41,MZN2,18,12,2,L,3
167075249,40,MZN2,18,12,2,L,4
167075251,39,MZN2,18,13,2,L,7
167075252,39,MZN2,18,13,2,L,5
167075253,40,MZN2,18,14,2,R,2
167075254,37,MZN2,18,14,2,R,1
167075254,39,MZN2,18,14,2,R,2
167075325,45,MZN2,2,3,1,R,3
167075325,44,MZN2,2,3,1,R,1
167075326,53,MZN2,2,3,1,R,7
167075328,52,MZN2,2,4,1,R,7
167075331,44,MZN2,2,5,1,R,4
167075333,51,MZN2,2,5,2,R,7
167075336,48,MZN2,2,8,2,R,7
167075340,49,MZN2,2,9,2,R,13
167075342,43,MZN2,3,3,2,L,14
167075343,44,MZN2,3,3,2,L,8
167075345,44,MZN2,3,4,1,R,1
167075349,42,MZN2,3,9,1,R,7
167075349,47,MZN2,3,9,1,R,6
167075349,46,MZN2,3,9,1,R,6
167075350,50,MZN2,3,8,2,R,14
167075351,49,MZN2,4,3,2,R,1
167075391,45,MZN2,2,2,1,R,1
567617708,6,MZN6,2,12,2,L,5
567652971,29,MZN5,6,9,3,R,7
567731239,4,MZN6,3,14,3,L,2
567743764,33,MZN5,6,11,4,L,7
567753154,2,MZN6,14,2,1,R,6
567753164,2,MZN6,14,2,4,L,1
567762195,3,MZN5,4,7,4,L,7
567763643,1,MZN5,20,4,5,L,1
567763645,1,MZN5,20,4,5,L,4
567877465,1,MZN6,7,10,1,L,1
567877553,3,MZN6,21,16,5,R,1
567879703,72,MZN6,21,11,3,L,2
567881782,58,MZN5,2,19,1,R,13
567883715,5,MZN6,2,13,4,L,4
567907662,82,MZN6,21,9,1,L,7
567952428,76,MZN4,16,12,4,R,1
567952428,75,MZN4,16,12,4,R,1
567967595,4,MZN6,23,1,4,R,3
567969144,7,MZN6,3,17,2,L,2
567975009,26,MZN5,17,2,2,L,1
568009212,14,MZN6,8,14,3,L,4
568009220,15,MZN6,8,15,2,R,2
568018510,25,MZN5,21,3,4,L,4
568018516,24,MZN5,21,3,4,L,2
568024595,3,MZN6,4,3,1,L,2
568031254,84,MZN5,25,3,1,R,5
568031254,83,MZN5,25,3,1,R,4
568031255,84,MZN5,25,6,6,R,2
568031259,83,MZN5,25,6,5,R,3
568043446,80,MZN4,24,9,3,L,12
568055085,9,MZN4,4,3,4,L,6
568055088,10,MZN4,4,2,6,R,9
568055093,12,MZN4,4,3,5,R,3
568063873,10,MZN4,4,3,4,L,1
568063876,12,MZN4,4,3,5,R,5
568068609,1,MZN6,20,1,1,R,2
568078418,30,MZN4,17,13,4,L,5
568078425,30,MZN5,5,12,1,L,9
568089029,57,MZN5,2,19,2,R,7
568093464,24,MZN4,17,14,6,R,5
568093467,25,MZN4,17,14,1,R,10
568093467,28,MZN4,17,14,1,R,2
568093473,28,MZN4,17,14,2,L,5
568093473,31,MZN4,17,14,2,L,4
568093475,31,MZN4,15,10,4,L,10
568093484,26,MZN4,15,10,6,R,1
568093486,26,MZN4,15,10,4,L,10
568093486,27,MZN4,15,10,4,L,7
568109531,78,MZN6,17,3,2,L,7
568112352,69,MZN6,18,9,1,R,2
568112401,64,MZN4,24,9,3,L,1
568112628,71,MZN4,24,6,4,R,7
568112630,64,MZN4,24,6,1,R,1
568112636,80,MZN4,24,7,1,R,2
568112637,64,MZN4,24,6,1,R,5
568113037,66,MZN4,24,6,5,R,14
568114646,65,MZN6,18,9,1,L,3
568114653,68,MZN6,18,10,2,R,3
568114657,79,MZN6,16,5,3,L,12
568114658,79,MZN6,16,8,2,R,2
568116606,69,MZN6,22,3,5,R,1
568116606,76,MZN6,22,3,5,R,1
568116606,70,MZN6,22,3,5,R,1
568116606,65,MZN6,22,3,5,R,1
568116606,74,MZN6,22,3,5,R,1
568116607,72,MZN6,22,3,5,R,2
568116607,69,MZN6,22,3,5,R,3
568116607,68,MZN6,22,3,5,R,3
568116607,65,MZN6,22,3,5,R,1
568116607,77,MZN6,22,3,5,R,2
568116607,73,MZN6,22,3,5,R,2
568116608,72,MZN6,22,2,5,L,2
568116608,73,MZN6,22,2,5,L,1
568116608,65,MZN6,22,2,5,L,1
568116608,69,MZN6,22,2,5,L,1
568116609,77,MZN6,22,2,5,L,2
568116609,73,MZN6,22,2,5,L,2
568116609,76,MZN6,22,2,5,L,2
568116609,74,MZN6,22,2,5,L,2
568116609,72,MZN6,22,2,5,L,2
568116610,74,MZN6,22,3,5,R,1
568116610,77,MZN6,22,3,5,R,1
568116610,76,MZN6,22,3,5,R,1
568116611,67,MZN6,22,3,5,R,1
568116611,68,MZN6,22,3,5,R,1
568116611,76,MZN6,22,3,5,R,1
568116611,75,MZN6,22,3,5,R,1
568116611,69,MZN6,22,3,5,R,1
568116611,77,MZN6,22,3,5,R,1
568116611,74,MZN6,22,3,5,R,1
568116611,65,MZN6,22,3,5,R,1
568116611,73,MZN6,22,3,5,R,1
568116611,70,MZN6,22,3,5,R,1
568116613,68,MZN6,22,3,3,R,1
568116613,74,MZN6,22,3,3,R,2
568116613,77,MZN6,22,3,3,R,2
568116613,76,MZN6,22,3,3,R,2
568116613,70,MZN6,22,3,3,R,1
568116613,72,MZN6,22,3,3,R,2
568116613,65,MZN6,22,3,3,R,1
568116613,73,MZN6,22,3,3,R,2
568116613,75,MZN6,22,3,3,R,2
568116614,69,MZN6,22,3,5,R,2
568116614,72,MZN6,22,3,5,R,2
568116614,65,MZN6,22,3,5,R,2
568116614,73,MZN6,22,3,5,R,2
568116614,77,MZN6,22,3,5,R,2
568116614,76,MZN6,22,3,5,R,2
568116614,68,MZN6,22,3,5,R,2
568116614,67,MZN6,22,3,5,R,2
568116614,75,MZN6,22,3,5,R,1
568116614,70,MZN6,22,3,5,R,2
568116615,69,MZN6,22,3,4,L,2
568116615,73,MZN6,22,3,4,L,2
