PICKER_CODE;PICKCAR_THM;DATE;TIME;AREA;AISLE;COLUMN;SHELF;LEFT_OR_RIGHT;PICKED_THM;ARTICLE_CODE;PICKED_AMOUNT;PICK_ORDER;STEP_DIST;TOTAL_DIST
40749;4167417580;24.11.2025;19:27;MZN4;27;19;1;L;4197229366;2275;1;1;0.0;0.0
40749;4167417580;24.11.2025;19:27;MZN4;27;19;1;L;4197229433;2276;2;2;0.0;0.0
40749;4167417580;24.11.2025;19:30;MZN4;17;6;4;R;567738761;1985;1;3;77.2;77.2
40749;4167417580;24.11.2025;19:31;MZN4;17;6;7;R;567738769;1986;1;4;0.0;77.2
40749;4167417580;24.11.2025;19:36;MZN4;17;7;5;R;567584162;1987;2;5;2.9;80.1
40749;4167417580;24.11.2025;19:36;MZN4;17;7;5;R;567584162;1987;1;6;0.0;80.1
40749;4167417580;24.11.2025;19:38;MZN4;17;7;6;R;567738767;1988;1;7;0.0;80.1
40749;4167417580;24.11.2025;19:38;MZN4;17;7;6;R;567738767;1988;1;8;0.0;80.1
40749;4167417580;24.11.2025;19:40;MZN4;17;8;7;R;567759938;1989;1;9;2.9;83.0
40749;4167417580;24.11.2025;19:41;MZN4;17;9;5;R;567888494;1991;1;10;2.9;85.9
40749;4167417580;24.11.2025;19:42;MZN4;17;9;5;R;567888494;1590;1;11;0.0;85.9
40749;4167417580;24.11.2025;19:42;MZN4;17;9;5;R;567888494;1992;1;12;0.0;85.9
40749;4167417580;24.11.2025;19:42;MZN4;17;9;5;R;567888494;1990;1;13;0.0;85.9
40749;4167417580;24.11.2025;19:42;MZN4;17;9;5;R;567888494;1991;1;14;0.0;85.9
40749;4167417580;24.11.2025;19:47;MZN4;17;9;6;R;567888496;1993;1;15;0.0;85.9
40749;4167417580;24.11.2025;19:47;MZN4;17;9;6;R;567888496;1980;1;16;0.0;85.9
40749;4167417580;24.11.2025;19:50;MZN4;17;12;6;R;4197254449;1995;1;17;11.4;97.3
40749;4167417580;24.11.2025;19:50;MZN4;17;12;6;R;4197254449;1995;2;18;0.0;97.3
40749;4167417580;24.11.2025;20:33;MZN4;17;13;3;R;567747649;1996;1;19;2.9;100.2
40749;4167417580;24.11.2025;20:33;MZN4;17;13;3;R;567747649;1996;1;20;0.0;100.2
40749;4167417580;24.11.2025;20:33;MZN4;17;13;5;R;567704869;1997;1;21;0.0;100.2
40749;4167417580;24.11.2025;20:33;MZN4;17;15;7;R;567762016;1998;1;22;5.8;106.0
40749;4167417580;24.11.2025;20:34;MZN4;17;16;4;R;567474719;1999;1;23;2.9;108.9
40749;4167417580;24.11.2025;20:34;MZN4;17;16;4;R;567474719;1999;1;24;0.0;108.9
40749;4167417580;24.11.2025;20:34;MZN4;17;16;4;R;567474719;1999;1;25;0.0;108.9
40749;4167417580;24.11.2025;20:34;MZN4;17;16;4;R;567474719;1999;1;26;0.0;108.9
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;27;2.9;111.8
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;28;0.0;111.8
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;29;0.0;111.8
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;30;0.0;111.8
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;31;0.0;111.8
40749;4167417580;24.11.2025;20:34;MZN4;17;17;3;R;567699701;1512;1;32;0.0;111.8
40749;4167417580;24.11.2025;20:35;MZN4;17;17;3;R;567871153;2000;1;33;0.0;111.8
40749;4167417580;24.11.2025;20:35;MZN4;17;17;3;R;567871153;2000;1;34;0.0;111.8
40749;4167417580;24.11.2025;20:35;MZN4;17;17;4;R;567864473;2001;1;35;0.0;111.8
40749;4167417580;24.11.2025;20:36;MZN4;17;17;4;R;567864473;2001;1;36;0.0;111.8
40749;4167417580;24.11.2025;20:37;MZN4;12;7;6;L;567947394;381;1;37;50.1;161.9
40749;4167417580;24.11.2025;20:38;MZN4;10;4;3;R;1217057730;1727;1;38;39.06;200.96
40749;4167417580;24.11.2025;20:38;MZN4;10;4;4;L;4197267393;1728;1;39;0.0;200.96
40749;4167417580;24.11.2025;20:38;MZN4;10;4;4;L;4197267393;1728;1;40;0.0;200.96
40749;4167417580;24.11.2025;20:38;MZN4;10;4;5;L;567739458;1727;1;41;0.0;200.96
40749;4167417580;24.11.2025;20:39;MZN4;10;4;5;R;567778175;1729;1;42;0.0;200.96
40749;4167417580;24.11.2025;20:39;MZN4;10;4;6;L;567720238;1730;1;43;0.0;200.96
40749;4167417580;24.11.2025;20:39;MZN4;10;3;1;L;567720239;1724;1;44;2.9;203.86
40749;4167417580;24.11.2025;20:39;MZN4;10;3;4;R;4197177043;1725;1;45;0.0;203.86
40749;4167417580;24.11.2025;20:39;MZN4;10;2;4;R;567633679;1722;1;46;2.9;206.76
40749;4167417580;24.11.2025;20:39;MZN4;10;2;6;L;4197177033;1723;1;47;0.0;206.76
40749;4167417580;24.11.2025;20:40;MZN4;10;2;6;L;4197177033;1723;1;48;0.0;206.76
40749;4167417580;24.11.2025;20:40;MZN4;10;2;6;L;4197177033;1723;1;49;0.0;206.76
40749;4167417580;24.11.2025;20:40;MZN4;10;1;6;R;567709009;1721;1;50;2.9;209.66
40749;4167417580;24.11.2025;20:40;MZN4;10;1;7;R;567709007;1721;1;51;0.0;209.66
40749;4167417580;24.11.2025;20:40;MZN4;10;1;7;R;567709007;1721;1;52;0.0;209.66
40749;4167417580;24.11.2025;20:40;MZN4;10;1;7;R;567709007;1721;1;53;0.0;209.66
40749;4167417580;24.11.2025;20:40;MZN4;10;1;7;R;567709007;1721;1;54;0.0;209.66
40749;4167417580;24.11.2025;20:40;MZN4;10;1;7;R;567709007;1721;1;55;0.0;209.66
40749;4167417580;24.11.2025;20:42;MZN4;9;17;7;R;567746761;1720;1;56;52.78;262.44
40749;4167417580;24.11.2025;20:42;MZN4;8;18;7;R;567923763;1693;1;57;23.78;286.22
40749;4167417580;24.11.2025;20:42;MZN4;8;18;7;R;567923763;1693;3;58;0.0;286.22
40749;4167417580;24.11.2025;20:42;MZN4;8;18;7;R;567923763;1693;2;59;0.0;286.22
40749;4167417580;24.11.2025;20:43;MZN4;8;18;7;R;567923765;1693;1;60;0.0;286.22
40749;4167417580;24.11.2025;20:43;MZN4;8;17;5;R;567794432;1692;1;61;2.9;289.12
40749;4167417580;24.11.2025;20:43;MZN4;8;16;7;R;567740746;1691;1;62;2.9;292.02
40749;4167417580;24.11.2025;20:43;MZN4;8;16;7;R;567740746;1691;1;63;0.0;292.02
40749;4167417580;24.11.2025;20:43;MZN4;8;16;7;R;567740746;1691;1;64;0.0;292.02
40749;4167417580;24.11.2025;20:44;MZN4;8;15;6;L;567755972;1689;1;65;2.9;294.92
